,title,lat,lon
159,Northwick Park,51.57850117,-0.317857023
160,Northwood,51.61098984,-0.423584422
161,Northwood Hills,51.60043795,-0.408812575
162,Notting Hill Gate,51.509028,-0.1962847
163,Oakwood,51.64739,-0.13192
164,Old Street,51.52618,-0.08751
165,Osterly,51.481569,-0.35196
166,Oval,51.48214,-0.11284
167,Oxford Circus,51.51517,-0.14119
168,Paddington,51.5151846554,-0.17553880792
169,Park Royal,51.52671,-0.28417
170,Parsons Green,51.47488,-0.20205
171,Perivale,51.536673,-0.32391
172,Piccadilly Circus,51.51022,-0.13392
173,Pimlico,51.489081,-0.133037
174,Pinner,51.59270271,-0.380539158
175,Plaistow,51.53122,0.01659
176,Preston Road,51.57229051,-0.295813875
177,Putney Bridge,51.46868,-0.2088141
178,Queens Park,51.534179,-0.205257721
179,Queensbury,51.59437,-0.28655
180,Queensway,51.59437,-0.18705
181,Ravenscourt Park,51.49419,-0.2356
182,Rayners Lane,51.57534,-0.3724
183,Redbridge,51.57618,0.04542
184,Regents Park,51.52344,-0.14713
185,Richmond,51.46343247,-0.302033247
186,Rickmansworth,51.64027898,-0.473521454
187,Roding Valley,51.61691,0.04264
188,Royal Oak,51.519383,-0.187785
189,Ruislip,51.57146,-0.42157
190,Ruislip Gardens,51.560711,-0.410587
191,Ruislip Manor,51.57349,-0.41185
192,Russell Square,51.523243,-0.124336
193,St. James's Park,51.49971,-0.13394
194,Seven Sisters,51.58318,-0.07495
195,Shepard's Bush,51.50474,-0.21881
196,Shepard's Bush Market,51.506063,-0.226231
197,Sloane Square,51.49258474,-0.156090904
198,Snaresbrook,51.58002,0.02133
199,South Ealing,51.500801,-0.307856
200,South Harrow,51.56461,-0.3521
201,South Kensington,51.494066,-0.172791
202,South Kenton,51.57044666,-0.308566354
203,South Ruislip,51.556795,-0.398708
204,South Wimbledon,51.41543048,-0.192262754
205,South Woodford,51.59088,0.02726
206,Southfields,51.444941,-0.206466
207,South Gate,51.6324,-0.12765
208,Southwark,51.50384,-0.10478
209,St. Johns Wood,51.53472,-0.17428
210,St. Paul's,51.515285,-0.097598
211,Stamford Brook,51.494935,-0.24619
212,Stanmore,51.61895,-0.30241
213,Stepney Green,51.521884,-0.046546
214,Stockwell,51.47224,-0.1227
215,Stonebridge Park,51.54402388,-0.275978856
216,Stratford,51.541208,-0.003776
217,Sudbury Hill,51.556998,-0.335949
218,Sudbury Town,51.55093,-0.31598
219,Swiss Cottage,51.54333,-0.17436
220,Temple,51.51114,-0.11341
221,Theydon Bois,51.67246,0.10354
222,Tooting Bec,51.43578971,-0.159635693
223,Tooting Broadway,51.42780008,-0.167910811
224,Tottenham Court Road,51.5164,-0.13027
225,Tottenham Hale,51.588878,-0.059808
226,Totteridge & Whetstone,51.63022,-0.17917
227,Tower Hill,51.50991,-0.076813
228,Tufnell Park,51.55663,-0.13813
229,Turnham Green,51.495143,-0.25406
230,Turnpike Lane,51.59031,-0.10308
231,Upminster,51.55925,0.25177
232,Upminster Bridge,51.55847,0.23509
233,Upney,51.55847,0.23509
234,Upton Park,51.53514,0.03373
235,Uxbridge,51.54687,-0.47725
236,Vauxhall,51.48603,-0.12369
237,Victoria,51.49662869,-0.14400853
238,Walthamstow Central,51.58293,-0.01996
239,Wanstead,51.57565,0.02864
240,Warren Street,51.5245,-0.1381
241,Warwick Avenue,51.52329728,-0.183777837
242,Waterloo,51.50322,-0.11328
243,Watford,51.65741058,-0.41745306
244,Wembley Central,51.55122817,-0.29577538
245,Wembley Park,51.56355598,-0.279770242
246,West Acton,51.51818,-0.28064
247,West Brompton,51.48681,-0.19475
248,West Finchley,51.60922281219,-0.188711152265457
249,West Ham,51.527917,0.004141
250,West Hampstead,51.54678865,-0.191016868
251,West Harrow,51.5795432,-0.353144584
252,West Kensington,51.49085,-0.20532
253,West Ruislip,51.569324,-0.43674
254,Westbourne Park,51.520995,-0.201778
255,Westminster,51.50121,-0.12489
256,White City,51.512206,-0.224226
257,White Chapel,51.51946,-0.05951
258,Willesden Green,51.54919,-0.22106
259,Willesden Junction,51.53181,-0.24235
260,Wimbledon,51.422,-0.20544
261,Wimbledon Park,51.43391,-0.19864
262,Wood Green,51.59709,-0.10939
263,Wood Lane,51.59709,-0.10939
264,Woodford,51.60582,0.03328
265,Woodside Park,51.6181717295887,-0.185578887883903
